,index,review_id,user_id,business_id,stars,useful,funny,cool,text,date
32,9976,hpNTU_zrpFUW4-TonIOJ1g,ySQP6km_KmfSQ48h1FxqLw,M0r9lUn2gLFYgIwIfG8-bQ,5,0,0,0,"Recently moved away from St. Louis and I miss this place. The atmosphere is very interesting and unique, first of all. The decor is pretty unusual and it's fun to sit on the balcony. The food is great and all locally sourced and homemade, even their ice cream. And really, if you go, you have to try the ice cream. My favorite thing to order is the Rumchata milkshake, which is made from Rumchata and their homemade cinnamon ice cream.",2015-05-26 14:27:57
33,10345,0FjGsk5Jrnq60uC1GJ8gXg,vhkjhwFeSLN7RdfScxdMsA,M0r9lUn2gLFYgIwIfG8-bQ,4,0,0,0,Recommended by our hotel. They were spot on! We sat at the bar as the wait was an hour for a table.  This was a great choice.  Sarah the bartender was super friendly and helpful.  The cherry limeade delicious  and the burgers fantastic.,2017-02-19 12:10:12
34,10491,KcCPbo9lua1HJS5I6un2gA,tIx-c6XfZjlpsFlATT_i7g,M0r9lUn2gLFYgIwIfG8-bQ,4,0,0,0,The environment is cool and the service was awesome. I will return solely for how delicious the fries were. The only reason I'm not giving five stars is the cheese sauce on my burger was broken so it was very gritty and it was kind of hard to eat. Seriously though the fries.,2017-09-20 15:49:05
35,10779,vXAbwDiWXZRPjmNrnfc6Mg,5DwxyuZNlV8zwvjFVzFvwA,M0r9lUn2gLFYgIwIfG8-bQ,4,0,0,0,"I surprised my girl with dinner at Bailey's Range, and she was excited to go!  Being a burger aficionado, I was happy to indulge my girl's burger passion.  At the same time, we were excited because the Range makes everything from scratch -- and I mean everything, right down to homemade buns and homemade sauces.  If they made their own glassware, plates, and silverware, I think they would have taken the experience to a whole new level!  

We got there shortly after the Range opened, so seating was not a problem.  Our server took our drink orders.  She had a dark beer, and I had the ""Sweet Sweet Bacon"" -- a milkshake with Maker's Mark, candied bacon, and salted caramel ice cream.  The shake was good -- I think mine might have had a little too much Maker's Mark, knocking the balance of the drink off, but I didn't mind -- it had been a long week up to Thursday...!  We skipped appetizers and went right to mains.  She ordered the American burger, and was more than happy.  Then again, who wouldn't want a fried mac'n cheese patty atop their burger, which was cooked medium rare (appropriately the way she wanted it) on a soft bun (double score for her!).  I ordered the Ahh Jamn!, which was supposed to come with bacon jam, red onions (I had asked for caramelized onions), mushrooms, and cheddar cheese.  When my burger came out, I was ready to kill it, so started enjoying it.  About midway through the experience, it dawned on me -- ""...is this my burger?""  I didn't really get the taste of bacon jam or mushrooms, though it looked like it might have been on there.  The cheese enveloped my burger, so it was hard to tell whether I had the right burger.  But I pressed on anyway, because I was hungry.  We also ordered a large order of fries, and asked for their house mayo and house cheese sauce.  The fries were great, and the homemade sauces were divine.

Overall, this was a good experience.  In hindsight, I should have said something to our server regarding my burger, but I chose not to.  That was my bad.  That's the only reason why I give Bailey's 4/5 stars rather than 5/5 stars.  That being said, that only means that I'll be back there again to try something different, because Bailey's Range is worth it!",2013-11-14 11:26:55
36,10910,g0Nds3fCUG4W3ZHU5pXSgg,BdD39nAbHw1Md2gTnTugrw,M0r9lUn2gLFYgIwIfG8-bQ,3,1,0,0,"This is apparently a favorite among some folks I work with, but last night was the first time I'd tried it. I'm glad I did!

The upstairs seating area was pretty sparsely populated on a Wednesday night, but there were some folks watching Game 1 in the bar downstairs - we knew about it because of the hoots when something good happened for the Cards. 

The drink menu was diverse and yet manageable. Quite often when I go to some restaurants in places like St. Louis or Denver, the drink menu seems to be competing for who can use the most trees to document the amount of alcohol they have available. For someone who is terrible at making choices, I hate those places, since there's just TOO much good stuff! Kudos, Bailey's Range, for helping those of us who are indecisive!

I ended up ordering a red wine to go with by burger - interesting choice, I know, but I was NOT feeling beer last night for whatever reason. I ordered the Smoked burger, which has caramelized onions and cheese and rooster sauce. It was awesome. The bun was soaking up all the delicious grease from the cheese and the meat, and the whole experience was just great. 

I would definitely recommend this place for burgers - there wasn't much else on the menu to choose from, but this would be a great hit-the-spot place for a burger craving!",2013-10-24 17:20:26
37,12372,KQMyHWSSAy86CnSVSHToWA,zbjyPk6hDjxJv6ZJ6gMPjQ,M0r9lUn2gLFYgIwIfG8-bQ,3,0,0,0,"Make the burgers bigger or lower the price....and please dont charge for the sauces, cmon! But...I like this place regardless.",2015-08-19 21:13:18
38,12574,l7EJj-TK0LuokA-2diAoJg,D6ImSvAYcFqKFWVO-H2acQ,M0r9lUn2gLFYgIwIfG8-bQ,5,1,0,1,"Great spot for a burger and fries with a full ice cream stand for dessert.
Fantastic local spot in downtown Saint Louis",2018-08-14 22:22:26
39,12703,BlYwCpvIoekoBEefmO6wKg,WjuYsY_NAmWqyMNU9eXucA,M0r9lUn2gLFYgIwIfG8-bQ,5,0,0,0,Best burger I've had in forever and easily the best Chili fries ever!! I had the PBJ burger. Did not disappoint!,2017-01-02 04:48:34
40,13039,NqT1Uu_-6iCkS3eJcU7AAw,hBmt2qmY2CT7HHOPgdjgEQ,M0r9lUn2gLFYgIwIfG8-bQ,5,0,0,0,I'm blown away by how delicious my burger was! Best burger I've ever had and I'm 55 years old! Kudos to the chef! This place was recommended by someone on my friend's flight from Houston into St Louis. We are here for the Joyce Meyer conference.,2016-09-30 22:14:07
41,13046,iJ2CbFqgts_t6G_9PI6Inw,QmibgsmeUV6ikmkIb34dZg,M0r9lUn2gLFYgIwIfG8-bQ,5,1,0,1,"I've been to Baileys Range three times and each time I leave happy and fully satisfied! The food is amazing and the drinks are different and delicious! 
The food: the burgers are constantly changing but they always offer something that you'll like. I always go for anything with guacamole and cheese :) oh and the fries, oh wow! So good!! They have several different dipping sauces which is really nice! 
The drinks: they have awesome pitchers for a great deal of their lemonades. Boozy lemonade? Who doesn't want booze in their lemonade?
The ambiance: the layout is super fun with upstairs and downstairs seating. 

Definitely check them out for your burger and fry fix :)",2015-05-26 18:46:40
42,13218,tXV-bXfxx8RdOu_JZ1kKVA,cC6YUlk75NXSc2iKCy1puQ,M0r9lUn2gLFYgIwIfG8-bQ,4,2,0,1,"Well... Size isn't everything.  I ordered the grill is on fire veggie burger.  I was practically starving.  When it arrived my first thought was ""oh dear, I'm going to have to order two.""  The veggie patty is tasty.  The texture is a little on the homogenous side but Il not off-putting.  I was pleasantly surprised that my burger plus sharing a larger order of fries made me full!  The sauces for the fries were interesting.  I enjoyed the sweet hot mustard.  A good bloody Mary was my adult beverage of choice.  The drink was well balanced and came with a swizzle of Sriracha sauce on a spear of olives and citrus.  Service was great.  Shakes looked really good, but I refrained from indulging.  I'd definitely recommend a stop here if you're in downtown STL.",2017-02-19 23:51:29
